;genre;filename;year;number;score;sentence1;sentence2;sentence1_pos;sentence2_pos;sentence1_pos_filtered;sentence2_pos_filtered;sentence1_filtered;sentence2_filtered;sentence1_str;sentence2_str;vectorial_components;vector1_liu_path;vector2_liu_path;vector1_liu_res;vector2_liu_res;vector1_liu_lin;vector2_liu_lin;vector1_liu_jcn;vector2_liu_jcn;liu_path;liu_res;liu_lin;liu_jcn;agirre_words;agirre_synsets
0;main-captions;MSRvid;2012test;0024;2.500;['a', 'girl', 'is', 'styling', 'her', 'hair'];['a', 'girl', 'is', 'brushing', 'her', 'hair'];[('a', 'DT'), ('girl', 'NN'), ('is', 'VBZ'), ('styling', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];[('a', 'DT'), ('girl', 'NN'), ('is', 'VBZ'), ('brushing', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];[('girl', 'NN'), ('is', 'VBZ'), ('styling', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];[('girl', 'NN'), ('is', 'VBZ'), ('brushing', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];['girl', 'is', 'styling', 'her', 'hair'];['girl', 'is', 'brushing', 'her', 'hair'];girl is styling her hair;girl is brushing her hair;['brushing', 'girl', 'hair', 'her', 'is', 'styling'];[0.25, 1.0, 1.0, 0, 1.0, 1.0];[1.0, 1.0, 1.0, 0, 1.0, 0.25];[0, 6.458571284481685, 8.82413117663712, 0, 4.169432297621895, 8.881561336630453];[0, 6.458571284481685, 8.82413117663712, 0, 4.169432297621895, 2.8657619754201695];[0, 1.0, 1.0, 0, 1.0, 1.0];[0, 1.0, 1.0, 0, 1.0, 0.4393613567099672];[0.0, 1.0, 1.0, 0.0, 1.0, 1.0];[0.0, 1.0, 1.0, 0.0, 1.0, 0.0];0.8615384615384617;0.9175068488263394;0.962378120595973;0.8660254037844387;0.8;0.6
1;main-captions;MSRvid;2012test;0033;3.600;['a', 'group', 'of', 'men', 'play', 'soccer', 'on', 'the', 'beach'];['a', 'group', 'of', 'boys', 'are', 'playing', 'soccer', 'on', 'the', 'beach'];[('a', 'DT'), ('group', 'NN'), ('of', 'IN'), ('men', 'NNS'), ('play', 'VBP'), ('soccer', 'NN'), ('on', 'IN'), ('the', 'DT'), ('beach', 'NN')];[('a', 'DT'), ('group', 'NN'), ('of', 'IN'), ('boys', 'NNS'), ('are', 'VBP'), ('playing', 'VBG'), ('soccer', 'NN'), ('on', 'IN'), ('the', 'DT'), ('beach', 'NN')];[('group', 'NN'), ('men', 'NNS'), ('play', 'VBP'), ('soccer', 'NN'), ('beach', 'NN')];[('group', 'NN'), ('boys', 'NNS'), ('are', 'VBP'), ('playing', 'VBG'), ('soccer', 'NN'), ('beach', 'NN')];['group', 'men', 'play', 'soccer', 'beach'];['group', 'boys', 'are', 'playing', 'soccer', 'beach'];group men play soccer beach;group boys are playing soccer beach;['are', 'beach', 'boys', 'group', 'men', 'play', 'playing', 'soccer'];[0.3333333333333333, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0];[0, 0, 4.836269554627468, 0, 7.298981080725609, 0, 0, 6.71391797629053];[0, 0, 6.249612368159432, 0, 4.836269554627468, 0, 0, 6.71391797629053];[0, 0, 0.8725096637889626, 0, 1.0, 0, 0, 1.0];[0, 0, 1.0, 0, 0.8725096637889626, 0, 0, 1.0];[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0];[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0];0.9326030944874745;0.9666939278146348;0.9941136623725135;0.49999999999999994;0.5454545454545454;0.7272727272727273
2;main-captions;MSRvid;2012test;0045;5.000;['one', 'woman', 'is', 'measuring', 'another', 'woman', 'ankle'];['a', 'woman', 'measures', 'another', 'woman', 'ankle'];[('one', 'CD'), ('woman', 'NN'), ('is', 'VBZ'), ('measuring', 'VBG'), ('another', 'DT'), ('woman', 'NN'), ('ankle', 'NN')];[('a', 'DT'), ('woman', 'NN'), ('measures', 'VBZ'), ('another', 'DT'), ('woman', 'NN'), ('ankle', 'NN')];[('one', 'CD'), ('woman', 'NN'), ('is', 'VBZ'), ('measuring', 'VBG'), ('woman', 'NN'), ('ankle', 'NN')];[('woman', 'NN'), ('measures', 'VBZ'), ('woman', 'NN'), ('ankle', 'NN')];['one', 'woman', 'is', 'measuring', 'woman', 'ankle'];['woman', 'measures', 'woman', 'ankle'];one woman is measuring woman ankle;woman measures woman ankle;['ankle', 'is', 'measures', 'measuring', 'one', 'woman'];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 0.5, 1.0, 1.0, 0.16666666666666666, 1.0];[8.013200960420791, 4.169432297621895, 0, 0, 0, 5.064385606654551];[8.013200960420791, 0, 0, 0, 0, 5.064385606654551];[1.0, 1.0, 0, 0, 0, 1.0];[1.0, 0, 0, 0, 0, 1.0];[1.0, 1.0, 0.0, 0.0, 0.0, 1.0];[1.0, 0.0, 0.0, 0.0, 0.0, 1.0];0.9211323729436767;0.9153688539697478;0.816496580927726;0.816496580927726;0.6;1.2
3;main-captions;MSRvid;2012test;0063;4.200;['a', 'man', 'is', 'cutting', 'up', 'a', 'cucumber'];['a', 'man', 'is', 'slicing', 'a', 'cucumber'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('up', 'RP'), ('a', 'DT'), ('cucumber', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('slicing', 'VBG'), ('a', 'DT'), ('cucumber', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('up', 'RP'), ('cucumber', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('slicing', 'VBG'), ('cucumber', 'NN')];['man', 'is', 'cutting', 'up', 'cucumber'];['man', 'is', 'slicing', 'cucumber'];man is cutting up cucumber;man is slicing cucumber;['cucumber', 'cutting', 'is', 'man', 'slicing', 'up'];[1.0, 1.0, 1.0, 1.0, 0.5, 1.0];[1.0, 0.5, 1.0, 1.0, 1.0, 0.2];[8.706348140980737, 0, 4.169432297621895, 0, 0, 0];[8.706348140980737, 0, 4.169432297621895, 0, 0, 0];[1.0, 0, 1.0, 0, 0, 0];[1.0, 0, 1.0, 0, 0, 0];[1.0, 0.0, 1.0, 0.0, 0.0, 0.0];[1.0, 0.0, 1.0, 0.0, 0.0, 0.0];0.8849953577374197;1.0;0.9999999999999999;0.9999999999999999;0.6666666666666666;0.6666666666666666
4;main-captions;MSRvid;2012test;0066;1.500;['a', 'man', 'is', 'playing', 'a', 'harp'];['a', 'man', 'is', 'playing', 'a', 'keyboard'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('harp', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('keyboard', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('harp', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('keyboard', 'NN')];['man', 'is', 'playing', 'harp'];['man', 'is', 'playing', 'keyboard'];man is playing harp;man is playing keyboard;['harp', 'is', 'keyboard', 'man', 'playing'];[1.0, 1.0, 0.25, 1.0, 1.0];[0.5, 1.0, 1.0, 1.0, 1.0];[0, 4.169432297621895, 0, 0, 0];[0, 4.169432297621895, 7.7255188879690095, 0, 0];[0, 1.0, 0, 0, 0];[0, 1.0, 1.0, 0, 0];[0.0, 1.0, 0.0, 0.0, 0.0];[0.0, 1.0, 1.0, 0.0, 0.0];0.9024852563942803;0.4749418324259333;0.7071067811865475;0.7071067811865475;0.75;0.75
5;main-captions;MSRvid;2012test;0074;1.800;['a', 'woman', 'is', 'cutting', 'onions'];['a', 'woman', 'is', 'cutting', 'tofu'];[('a', 'DT'), ('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('onions', 'NNS')];[('a', 'DT'), ('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('tofu', 'NN')];[('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('onions', 'NNS')];[('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('tofu', 'NN')];['woman', 'is', 'cutting', 'onions'];['woman', 'is', 'cutting', 'tofu'];woman is cutting onions;woman is cutting tofu;['cutting', 'is', 'onions', 'tofu', 'woman'];[1.0, 1.0, 1.0, 0.1, 1.0];[1.0, 1.0, 0.25, 1.0, 1.0];[0, 4.169432297621895, 7.26598655859057, 2.8423495349461927, 5.064385606654551];[0, 4.169432297621895, 2.8423495349461927, 7.165903100033587, 5.064385606654551];[0, 1.0, 1.0, 0.3938984571223729, 1.0];[0, 1.0, 0.3938984571223729, 1.0, 1.0];[0.0, 1.0, 1.0, 0.0, 1.0];[0.0, 1.0, 0.0, 1.0, 1.0];0.8299958745295333;0.8146139215263939;0.883568647345396;0.6666666666666667;0.75;0.75
6;main-captions;MSRvid;2012test;0076;3.500;['a', 'man', 'is', 'riding', 'an', 'electric', 'bicycle'];['a', 'man', 'is', 'riding', 'a', 'bicycle'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('an', 'DT'), ('electric', 'JJ'), ('bicycle', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('a', 'DT'), ('bicycle', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('electric', 'JJ'), ('bicycle', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('bicycle', 'NN')];['man', 'is', 'riding', 'electric', 'bicycle'];['man', 'is', 'riding', 'bicycle'];man is riding electric bicycle;man is riding bicycle;['bicycle', 'electric', 'is', 'man', 'riding'];[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 0.16666666666666666, 1.0, 1.0, 1.0];[0, 0, 4.169432297621895, 0, 0];[0, 0, 4.169432297621895, 0, 0];[0, 0, 1.0, 0, 0];[0, 0, 1.0, 0, 0];[0.0, 0.0, 1.0, 0.0, 0.0];[0.0, 0.0, 1.0, 0.0, 0.0];0.9284766908852594;1.0;1.0;1.0;0.8888888888888888;0.8888888888888888
7;main-captions;MSRvid;2012test;0082;2.200;['a', 'man', 'is', 'playing', 'the', 'drums'];['a', 'man', 'is', 'playing', 'the', 'guitar'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('drums', 'NNS')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('guitar', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('drums', 'NNS')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];['man', 'is', 'playing', 'drums'];['man', 'is', 'playing', 'guitar'];man is playing drums;man is playing guitar;['drums', 'guitar', 'is', 'man', 'playing'];[1.0, 0.2, 1.0, 1.0, 1.0];[0.5, 1.0, 1.0, 1.0, 1.0];[0, 0, 4.169432297621895, 0, 0];[0, 5.283171852599805, 4.169432297621895, 0, 0];[0, 0, 1.0, 0, 0];[0, 1.0, 1.0, 0, 0];[0.0, 0.0, 1.0, 0.0, 0.0];[0.0, 1.0, 1.0, 0.0, 0.0];0.8929282773893122;0.6195076337142179;0.7071067811865475;0.7071067811865475;0.75;0.75
8;main-captions;MSRvid;2012test;0092;2.200;['a', 'man', 'is', 'playing', 'guitar'];['a', 'lady', 'is', 'playing', 'the', 'guitar'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];[('a', 'DT'), ('lady', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('guitar', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];[('lady', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];['man', 'is', 'playing', 'guitar'];['lady', 'is', 'playing', 'guitar'];man is playing guitar;lady is playing guitar;['guitar', 'is', 'lady', 'man', 'playing'];[1.0, 1.0, 0.25, 1.0, 1.0];[1.0, 1.0, 1.0, 0.25, 1.0];[5.283171852599805, 4.169432297621895, 0.9559670183214576, 0, 0];[5.283171852599805, 4.169432297621895, 8.013200960420791, 0, 0];[1.0, 1.0, 0.14379365436945601, 0, 0];[1.0, 1.0, 1.0, 0, 0];[1.0, 1.0, 0.0, 0.0, 0.0];[1.0, 1.0, 1.0, 0.0, 0.0];0.8615384615384617;0.744438967731523;0.8707108293632508;0.816496580927726;0.75;0.75
9;main-captions;MSRvid;2012test;0095;1.714;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'playing', 'a', 'trumpet'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('guitar', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('trumpet', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('trumpet', 'NN')];['man', 'is', 'playing', 'guitar'];['man', 'is', 'playing', 'trumpet'];man is playing guitar;man is playing trumpet;['guitar', 'is', 'man', 'playing', 'trumpet'];[1.0, 1.0, 1.0, 1.0, 0.5];[0.16666666666666666, 1.0, 1.0, 1.0, 1.0];[5.283171852599805, 4.169432297621895, 0, 0, 0];[0, 4.169432297621895, 0, 0, 0];[1.0, 1.0, 0, 0, 0];[0, 1.0, 0, 0, 0];[1.0, 1.0, 0.0, 0.0, 0.0];[0.0, 1.0, 0.0, 0.0, 0.0];0.8862254439618371;0.619507633714218;0.7071067811865475;0.7071067811865475;0.75;0.75
