;genre;filename;year;number;score;sentence1;sentence2;sentence1_pos;sentence2_pos;sentence1_pos_filtered;sentence2_pos_filtered;sentence1_filtered;sentence2_filtered;sentence1_str;sentence2_str;liu_path;liu_res;liu_lin;liu_jcn;agirre_words;agirre_synsets
625;main-forums;answer-answer;2016;0008;3;['i', 'remained', 'under', 'the', 'banyan', 'tree', 'exhausted', 'by', 'my', 'daily', 'ritual', 'of', 'dragooning', 'the', 'men', 'every', 'two', 'hours'];['i', 'remained', 'under', 'the', 'banyan', 'tree', 'exhausted', 'by', 'my', 'daily', 'ritual', 'of', 'herding', 'the', 'cats', 'every', 'two', 'hours'];[('i', 'NN'), ('remained', 'VBD'), ('under', 'IN'), ('the', 'DT'), ('banyan', 'JJ'), ('tree', 'NN'), ('exhausted', 'VBN'), ('by', 'IN'), ('my', 'PRP$'), ('daily', 'JJ'), ('ritual', 'NN'), ('of', 'IN'), ('dragooning', 'VBG'), ('the', 'DT'), ('men', 'NNS'), ('every', 'DT'), ('two', 'CD'), ('hours', 'NNS')];[('i', 'NN'), ('remained', 'VBD'), ('under', 'IN'), ('the', 'DT'), ('banyan', 'JJ'), ('tree', 'NN'), ('exhausted', 'VBN'), ('by', 'IN'), ('my', 'PRP$'), ('daily', 'JJ'), ('ritual', 'NN'), ('of', 'IN'), ('herding', 'VBG'), ('the', 'DT'), ('cats', 'NNS'), ('every', 'DT'), ('two', 'CD'), ('hours', 'NNS')];[('i', 'NN'), ('remained', 'VBD'), ('banyan', 'JJ'), ('tree', 'NN'), ('exhausted', 'VBN'), ('my', 'PRP$'), ('daily', 'JJ'), ('ritual', 'NN'), ('dragooning', 'VBG'), ('men', 'NNS'), ('two', 'CD'), ('hours', 'NNS')];[('i', 'NN'), ('remained', 'VBD'), ('banyan', 'JJ'), ('tree', 'NN'), ('exhausted', 'VBN'), ('my', 'PRP$'), ('daily', 'JJ'), ('ritual', 'NN'), ('herding', 'VBG'), ('cats', 'NNS'), ('two', 'CD'), ('hours', 'NNS')];['i', 'remained', 'banyan', 'tree', 'exhausted', 'my', 'daily', 'ritual', 'dragooning', 'men', 'two', 'hours'];['i', 'remained', 'banyan', 'tree', 'exhausted', 'my', 'daily', 'ritual', 'herding', 'cats', 'two', 'hours'];i remained banyan tree exhausted my daily ritual dragooning men two hours;i remained banyan tree exhausted my daily ritual herding cats two hours;0.9222267272538607;0.7173001619779485;0.7497421278446919;0.6708203932499369;0.8333333333333334;0.75
626;main-forums;answer-answer;2016;0015;3;['in', 'the', 'us', 'it', 'will', 'depend', 'on', 'the', 'school'];['it', 'really', 'depends', 'on', 'the', 'school', 'and', 'the', 'program'];[('in', 'IN'), ('the', 'DT'), ('us', 'PRP'), ('it', 'PRP'), ('will', 'MD'), ('depend', 'VB'), ('on', 'IN'), ('the', 'DT'), ('school', 'NN')];[('it', 'PRP'), ('really', 'RB'), ('depends', 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('school', 'NN'), ('and', 'CC'), ('the', 'DT'), ('program', 'NN')];[('us', 'PRP'), ('it', 'PRP'), ('will', 'MD'), ('depend', 'VB'), ('school', 'NN')];[('it', 'PRP'), ('really', 'RB'), ('depends', 'VBZ'), ('school', 'NN'), ('and', 'CC'), ('program', 'NN')];['us', 'it', 'will', 'depend', 'school'];['it', 'really', 'depends', 'school', 'and', 'program'];us it will depend school;it really depends school and program;0.7581378758768839;0.4900930468654443;0.7617053504022087;0.75;0.36363636363636365;0.5454545454545454
627;main-forums;answer-answer;2016;0028;0;['there', 'also', 'what', 'the', 'string', 'is', 'made', 'of'];['there', 'is', 'also', 'a', 'youtube-version', 'of', 'the', 'film'];[('there', 'RB'), ('also', 'RB'), ('what', 'WP'), ('the', 'DT'), ('string', 'NN'), ('is', 'VBZ'), ('made', 'VBN'), ('of', 'IN')];[('there', 'EX'), ('is', 'VBZ'), ('also', 'RB'), ('a', 'DT'), ('youtube-version', 'NN'), ('of', 'IN'), ('the', 'DT'), ('film', 'NN')];[('there', 'RB'), ('also', 'RB'), ('what', 'WP'), ('string', 'NN'), ('is', 'VBZ'), ('made', 'VBN')];[('there', 'EX'), ('is', 'VBZ'), ('also', 'RB'), ('youtube-version', 'NN'), ('film', 'NN')];['there', 'also', 'what', 'string', 'is', 'made'];['there', 'is', 'also', 'youtube-version', 'film'];there also what string is made;there is also youtube-version film;0.8931917937376475;1.0;0.9999999999999999;0.9999999999999999;0.5454545454545454;0.5454545454545454
628;main-forums;answer-answer;2016;0034;0;['you', 'also', 'imply', 'you', 'may', 'not', 'be', 'paid', 'if', 'they', 'can', 'not', 'place', 'you', 'with', 'a', 'client'];['you', 'can', 'do', 'it', 'but', 'you', 'might', 'not', 'be', 'a', 'professor'];[('you', 'PRP'), ('also', 'RB'), ('imply', 'VBP'), ('you', 'PRP'), ('may', 'MD'), ('not', 'RB'), ('be', 'VB'), ('paid', 'VBN'), ('if', 'IN'), ('they', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('place', 'VB'), ('you', 'PRP'), ('with', 'IN'), ('a', 'DT'), ('client', 'NN')];[('you', 'PRP'), ('can', 'MD'), ('do', 'VB'), ('it', 'PRP'), ('but', 'CC'), ('you', 'PRP'), ('might', 'MD'), ('not', 'RB'), ('be', 'VB'), ('a', 'DT'), ('professor', 'NN')];[('you', 'PRP'), ('also', 'RB'), ('imply', 'VBP'), ('you', 'PRP'), ('may', 'MD'), ('not', 'RB'), ('be', 'VB'), ('paid', 'VBN'), ('they', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('place', 'VB'), ('you', 'PRP'), ('client', 'NN')];[('you', 'PRP'), ('can', 'MD'), ('do', 'VB'), ('it', 'PRP'), ('but', 'CC'), ('you', 'PRP'), ('might', 'MD'), ('not', 'RB'), ('be', 'VB'), ('professor', 'NN')];['you', 'also', 'imply', 'you', 'may', 'not', 'be', 'paid', 'they', 'can', 'not', 'place', 'you', 'client'];['you', 'can', 'do', 'it', 'but', 'you', 'might', 'not', 'be', 'professor'];you also imply you may not be paid they can not place you client;you can do it but you might not be professor;0.5771125010298978;0.5062624562976324;0.4870686087171983;0.19999999999999998;0.5833333333333334;0.3333333333333333
629;main-forums;answer-answer;2016;0040;2;['i', 'did', 'this', 'one', 'time', 'as', 'well'];['i', 'have', 'this', 'habit', 'as', 'well'];[('i', 'NN'), ('did', 'VBD'), ('this', 'DT'), ('one', 'NN'), ('time', 'NN'), ('as', 'IN'), ('well', 'RB')];[('i', 'NN'), ('have', 'VBP'), ('this', 'DT'), ('habit', 'NN'), ('as', 'RB'), ('well', 'RB')];[('i', 'NN'), ('did', 'VBD'), ('one', 'NN'), ('time', 'NN'), ('well', 'RB')];[('i', 'NN'), ('have', 'VBP'), ('habit', 'NN'), ('as', 'RB'), ('well', 'RB')];['i', 'did', 'one', 'time', 'well'];['i', 'have', 'habit', 'as', 'well'];i did one time well;i have habit as well;0.768411053005097;;;;0.4;0.6
630;main-forums;answer-answer;2016;0041;0;['you', 'just', 'have', 'to', 'base', 'your', 'answer', 'on', 'what', 'you', 'do', 'know', 'which', 'is', 'what', 'you', 'want'];['you', 'may', 'want', 'it', 'but', 'the', 'process', 'given', 'to', 'you', 'is', 'what', 'you', 'have', 'to', 'work', 'within'];[('you', 'PRP'), ('just', 'RB'), ('have', 'VBP'), ('to', 'TO'), ('base', 'VB'), ('your', 'PRP$'), ('answer', 'NN'), ('on', 'IN'), ('what', 'WP'), ('you', 'PRP'), ('do', 'VBP'), ('know', 'VB'), ('which', 'WDT'), ('is', 'VBZ'), ('what', 'WP'), ('you', 'PRP'), ('want', 'VBP')];[('you', 'PRP'), ('may', 'MD'), ('want', 'VB'), ('it', 'PRP'), ('but', 'CC'), ('the', 'DT'), ('process', 'NN'), ('given', 'VBN'), ('to', 'TO'), ('you', 'PRP'), ('is', 'VBZ'), ('what', 'WP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('work', 'VB'), ('within', 'IN')];[('you', 'PRP'), ('just', 'RB'), ('have', 'VBP'), ('to', 'TO'), ('base', 'VB'), ('your', 'PRP$'), ('answer', 'NN'), ('what', 'WP'), ('you', 'PRP'), ('do', 'VBP'), ('know', 'VB'), ('which', 'WDT'), ('is', 'VBZ'), ('what', 'WP'), ('you', 'PRP'), ('want', 'VBP')];[('you', 'PRP'), ('may', 'MD'), ('want', 'VB'), ('it', 'PRP'), ('but', 'CC'), ('process', 'NN'), ('given', 'VBN'), ('to', 'TO'), ('you', 'PRP'), ('is', 'VBZ'), ('what', 'WP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('work', 'VB')];['you', 'just', 'have', 'to', 'base', 'your', 'answer', 'what', 'you', 'do', 'know', 'which', 'is', 'what', 'you', 'want'];['you', 'may', 'want', 'it', 'but', 'process', 'given', 'to', 'you', 'is', 'what', 'you', 'have', 'to', 'work'];you just have to base your answer what you do know which is what you want;you may want it but process given to you is what you have to work;0.8196049084358036;0.5222374030646154;0.5;0.5;0.5806451612903226;0.3225806451612903
631;main-forums;answer-answer;2016;0047;5;['you', 'do', 'not', 'need', 'to', 'worry'];['you', 'do', 'not', 'have', 'to', 'worry'];[('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('need', 'VB'), ('to', 'TO'), ('worry', 'VB')];[('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('to', 'TO'), ('worry', 'VB')];[('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('need', 'VB'), ('to', 'TO'), ('worry', 'VB')];[('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('to', 'TO'), ('worry', 'VB')];['you', 'do', 'not', 'need', 'to', 'worry'];['you', 'do', 'not', 'have', 'to', 'worry'];you do not need to worry;you do not have to worry;0.8918918918918921;1.0;1.0;1.0;0.8333333333333334;0.5
632;main-forums;answer-answer;2016;0048;3;['you', 'should', 'do', 'it'];['you', 'should', 'do', 'what', 'it', 'says'];[('you', 'PRP'), ('should', 'MD'), ('do', 'VB'), ('it', 'PRP')];[('you', 'PRP'), ('should', 'MD'), ('do', 'VB'), ('what', 'WP'), ('it', 'PRP'), ('says', 'VBZ')];[('you', 'PRP'), ('should', 'MD'), ('do', 'VB'), ('it', 'PRP')];[('you', 'PRP'), ('should', 'MD'), ('do', 'VB'), ('what', 'WP'), ('it', 'PRP'), ('says', 'VBZ')];['you', 'should', 'do', 'it'];['you', 'should', 'do', 'what', 'it', 'says'];you should do it;you should do what it says;0.9271726499455307;1.0;1.0;1.0;0.8;0.4
633;main-forums;answer-answer;2016;0061;2;['you', 'should', 'just', 'ask', 'your', 'boss', 'what', 'he', 'wants', 'you', 'to', 'do'];['you', 'should', 'listen', 'to', 'your', 'boss', 'because', 'youre', 'not', 'paid', 'to', 'tell', 'the', 'boss', 'what', 'to', 'do'];[('you', 'PRP'), ('should', 'MD'), ('just', 'RB'), ('ask', 'VB'), ('your', 'PRP$'), ('boss', 'NN'), ('what', 'WP'), ('he', 'PRP'), ('wants', 'VBZ'), ('you', 'PRP'), ('to', 'TO'), ('do', 'VB')];[('you', 'PRP'), ('should', 'MD'), ('listen', 'VB'), ('to', 'TO'), ('your', 'PRP$'), ('boss', 'NN'), ('because', 'IN'), ('youre', 'NN'), ('not', 'RB'), ('paid', 'VBN'), ('to', 'TO'), ('tell', 'VB'), ('the', 'DT'), ('boss', 'NN'), ('what', 'WP'), ('to', 'TO'), ('do', 'VB')];[('you', 'PRP'), ('should', 'MD'), ('just', 'RB'), ('ask', 'VB'), ('your', 'PRP$'), ('boss', 'NN'), ('what', 'WP'), ('he', 'PRP'), ('wants', 'VBZ'), ('you', 'PRP'), ('to', 'TO'), ('do', 'VB')];[('you', 'PRP'), ('should', 'MD'), ('listen', 'VB'), ('to', 'TO'), ('your', 'PRP$'), ('boss', 'NN'), ('youre', 'NN'), ('not', 'RB'), ('paid', 'VBN'), ('to', 'TO'), ('tell', 'VB'), ('boss', 'NN'), ('what', 'WP'), ('to', 'TO'), ('do', 'VB')];['you', 'should', 'just', 'ask', 'your', 'boss', 'what', 'he', 'wants', 'you', 'to', 'do'];['you', 'should', 'listen', 'to', 'your', 'boss', 'youre', 'not', 'paid', 'to', 'tell', 'boss', 'what', 'to', 'do'];you should just ask your boss what he wants you to do;you should listen to your boss youre not paid to tell boss what to do;0.5922681172381591;0.0;0.0;0.0;0.5925925925925926;0.2222222222222222
634;main-forums;answer-answer;2016;0065;0;['you', 'need', 'to', 'read', 'a', 'lot', 'to', 'know', 'what', 'you', 'like', 'and', 'what', 'you', 'do', 'not'];['you', 'have', 'to', 'decide', 'how', 'much', 'you', 'want', 'to', 'demand', 'and', 'what', 'unmet', 'demands', 'you', 'can', 'live', 'with'];[('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('read', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('to', 'TO'), ('know', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('like', 'VBP'), ('and', 'CC'), ('what', 'WP'), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB')];[('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('decide', 'VB'), ('how', 'WRB'), ('much', 'JJ'), ('you', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('demand', 'VB'), ('and', 'CC'), ('what', 'WP'), ('unmet', 'VBD'), ('demands', 'NNS'), ('you', 'PRP'), ('can', 'MD'), ('live', 'VB'), ('with', 'IN')];[('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('read', 'VB'), ('lot', 'NN'), ('to', 'TO'), ('know', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('like', 'VBP'), ('and', 'CC'), ('what', 'WP'), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB')];[('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('decide', 'VB'), ('how', 'WRB'), ('much', 'JJ'), ('you', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('demand', 'VB'), ('and', 'CC'), ('what', 'WP'), ('unmet', 'VBD'), ('demands', 'NNS'), ('you', 'PRP'), ('can', 'MD'), ('live', 'VB')];['you', 'need', 'to', 'read', 'lot', 'to', 'know', 'what', 'you', 'like', 'and', 'what', 'you', 'do', 'not'];['you', 'have', 'to', 'decide', 'how', 'much', 'you', 'want', 'to', 'demand', 'and', 'what', 'unmet', 'demands', 'you', 'can', 'live'];you need to read lot to know what you like and what you do not;you have to decide how much you want to demand and what unmet demands you can live;0.8167690635097687;0.0;0.0;0.0;0.5;0.25
