;genre;filename;year;number;score;sentence1;sentence2;sentence1_pos;sentence2_pos;sentence1_pos_filtered;sentence2_pos_filtered;sentence1_filtered;sentence2_filtered;sentence1_str;sentence2_str;vector1;vector2;liu_path;liu_res;liu_lin;liu_jcn;agirre_words;agirre_synsets
0;main-captions;MSRvid;2012test;0024;2.500;['a', 'girl', 'is', 'styling', 'her', 'hair'];['a', 'girl', 'is', 'brushing', 'her', 'hair'];[('a', 'DT'), ('girl', 'NN'), ('is', 'VBZ'), ('styling', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];[('a', 'DT'), ('girl', 'NN'), ('is', 'VBZ'), ('brushing', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];[('girl', 'NN'), ('is', 'VBZ'), ('styling', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];[('girl', 'NN'), ('is', 'VBZ'), ('brushing', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];['girl', 'is', 'styling', 'her', 'hair'];['girl', 'is', 'brushing', 'her', 'hair'];girl is styling her hair;girl is brushing her hair;[4.169432297621895, 8.81885706493052, 6.453297172775086, 8.881561336630453, 0, 0];[4.169432297621895, 8.81885706493052, 6.453297172775086, 2.8657619754201695, 0, 0];0.8615384615384617;0.9174481889801366;0.962378120595973;0.8660254037844387;0.8;0.6
1;main-captions;MSRvid;2012test;0033;3.600;['a', 'group', 'of', 'men', 'play', 'soccer', 'on', 'the', 'beach'];['a', 'group', 'of', 'boys', 'are', 'playing', 'soccer', 'on', 'the', 'beach'];[('a', 'DT'), ('group', 'NN'), ('of', 'IN'), ('men', 'NNS'), ('play', 'VBP'), ('soccer', 'NN'), ('on', 'IN'), ('the', 'DT'), ('beach', 'NN')];[('a', 'DT'), ('group', 'NN'), ('of', 'IN'), ('boys', 'NNS'), ('are', 'VBP'), ('playing', 'VBG'), ('soccer', 'NN'), ('on', 'IN'), ('the', 'DT'), ('beach', 'NN')];[('group', 'NN'), ('men', 'NNS'), ('play', 'VBP'), ('soccer', 'NN'), ('beach', 'NN')];[('group', 'NN'), ('boys', 'NNS'), ('are', 'VBP'), ('playing', 'VBG'), ('soccer', 'NN'), ('beach', 'NN')];['group', 'men', 'play', 'soccer', 'beach'];['group', 'boys', 'are', 'playing', 'soccer', 'beach'];group men play soccer beach;group boys are playing soccer beach;[0, 6.70864386458393, 0, 0, 0, 7.293706969019008, 0, 4.830995442920869];[0, 6.70864386458393, 0, 0, 0, 4.830995442920869, 0, 6.244338256452832];0.9326030944874747;0.9666378332323756;0.9941019921077017;0.49999999999999994;0.5454545454545454;0.7272727272727273
2;main-captions;MSRvid;2012test;0045;5.000;['one', 'woman', 'is', 'measuring', 'another', 'woman', 'ankle'];['a', 'woman', 'measures', 'another', 'woman', 'ankle'];[('one', 'CD'), ('woman', 'NN'), ('is', 'VBZ'), ('measuring', 'VBG'), ('another', 'DT'), ('woman', 'NN'), ('ankle', 'NN')];[('a', 'DT'), ('woman', 'NN'), ('measures', 'VBZ'), ('another', 'DT'), ('woman', 'NN'), ('ankle', 'NN')];[('one', 'CD'), ('woman', 'NN'), ('is', 'VBZ'), ('measuring', 'VBG'), ('woman', 'NN'), ('ankle', 'NN')];[('woman', 'NN'), ('measures', 'VBZ'), ('woman', 'NN'), ('ankle', 'NN')];['one', 'woman', 'is', 'measuring', 'woman', 'ankle'];['woman', 'measures', 'woman', 'ankle'];one woman is measuring woman ankle;woman measures woman ankle;[0, 4.169432297621895, 5.059111494947952, 0, 0, 8.007926848714192];[0, 0, 5.059111494947952, 0, 0, 8.007926848714192];0.9211323729436767;0.9152548544953992;0.816496580927726;0.816496580927726;0.6;1.2
3;main-captions;MSRvid;2012test;0063;4.200;['a', 'man', 'is', 'cutting', 'up', 'a', 'cucumber'];['a', 'man', 'is', 'slicing', 'a', 'cucumber'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('up', 'RP'), ('a', 'DT'), ('cucumber', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('slicing', 'VBG'), ('a', 'DT'), ('cucumber', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('up', 'RP'), ('cucumber', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('slicing', 'VBG'), ('cucumber', 'NN')];['man', 'is', 'cutting', 'up', 'cucumber'];['man', 'is', 'slicing', 'cucumber'];man is cutting up cucumber;man is slicing cucumber;[0, 0, 4.169432297621895, 8.701074029274137, 0, 0];[0, 0, 4.169432297621895, 8.701074029274137, 0, 0];0.8849953577374197;0.9999999999999998;0.9999999999999999;0.9999999999999999;0.6666666666666666;0.6666666666666666
4;main-captions;MSRvid;2012test;0066;1.500;['a', 'man', 'is', 'playing', 'a', 'harp'];['a', 'man', 'is', 'playing', 'a', 'keyboard'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('harp', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('keyboard', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('harp', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('keyboard', 'NN')];['man', 'is', 'playing', 'harp'];['man', 'is', 'playing', 'keyboard'];man is playing harp;man is playing keyboard;[0, 0, 4.169432297621895, 0, 0];[0, 0, 4.169432297621895, 0, 7.72024477626241];0.9024852563942803;0.4751930445491499;0.7071067811865475;0.7071067811865475;0.75;0.75
5;main-captions;MSRvid;2012test;0074;1.800;['a', 'woman', 'is', 'cutting', 'onions'];['a', 'woman', 'is', 'cutting', 'tofu'];[('a', 'DT'), ('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('onions', 'NNS')];[('a', 'DT'), ('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('tofu', 'NN')];[('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('onions', 'NNS')];[('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('tofu', 'NN')];['woman', 'is', 'cutting', 'onions'];['woman', 'is', 'cutting', 'tofu'];woman is cutting onions;woman is cutting tofu;[4.169432297621895, 5.059111494947952, 2.837075423239593, 7.26071244688397, 0];[4.169432297621895, 5.059111494947952, 7.160628988326987, 2.837075423239593, 0];0.8299958745295333;0.8143270235743075;0.8833853610050686;0.6666666666666667;0.75;0.75
6;main-captions;MSRvid;2012test;0076;3.500;['a', 'man', 'is', 'riding', 'an', 'electric', 'bicycle'];['a', 'man', 'is', 'riding', 'a', 'bicycle'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('an', 'DT'), ('electric', 'JJ'), ('bicycle', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('a', 'DT'), ('bicycle', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('electric', 'JJ'), ('bicycle', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('bicycle', 'NN')];['man', 'is', 'riding', 'electric', 'bicycle'];['man', 'is', 'riding', 'bicycle'];man is riding electric bicycle;man is riding bicycle;[0, 4.169432297621895, 0, 0, 0];[0, 4.169432297621895, 0, 0, 0];0.9284766908852593;1.0;1.0;1.0;0.8888888888888888;0.8888888888888888
7;main-captions;MSRvid;2012test;0082;2.200;['a', 'man', 'is', 'playing', 'the', 'drums'];['a', 'man', 'is', 'playing', 'the', 'guitar'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('drums', 'NNS')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('guitar', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('drums', 'NNS')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];['man', 'is', 'playing', 'drums'];['man', 'is', 'playing', 'guitar'];man is playing drums;man is playing guitar;[0, 0, 0, 4.169432297621895, 0];[0, 0, 0, 4.169432297621895, 5.277897740893206];0.8929282773893122;0.6198888874690157;0.7071067811865475;0.7071067811865475;0.75;0.75
8;main-captions;MSRvid;2012test;0092;2.200;['a', 'man', 'is', 'playing', 'guitar'];['a', 'lady', 'is', 'playing', 'the', 'guitar'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];[('a', 'DT'), ('lady', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('guitar', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];[('lady', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];['man', 'is', 'playing', 'guitar'];['lady', 'is', 'playing', 'guitar'];man is playing guitar;lady is playing guitar;[0, 0, 4.169432297621895, 0.9571725301990714, 5.277897740893206];[0, 0, 4.169432297621895, 8.007926848714192, 5.277897740893206];0.8615384615384617;0.7446276409609623;0.8708125651584425;0.816496580927726;0.75;0.75
9;main-captions;MSRvid;2012test;0095;1.714;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'playing', 'a', 'trumpet'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('guitar', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('trumpet', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];[('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('trumpet', 'NN')];['man', 'is', 'playing', 'guitar'];['man', 'is', 'playing', 'trumpet'];man is playing guitar;man is playing trumpet;[0, 0, 0, 4.169432297621895, 5.277897740893206];[0, 0, 0, 4.169432297621895, 0];0.886225443961837;0.6198888874690158;0.7071067811865475;0.7071067811865475;0.75;0.75
