;genre;filename;year;number;score;sentence1;sentence2;sentence1_pos;sentence2_pos;sentence1_pos_filtered;sentence2_pos_filtered;sentence1_filtered;sentence2_filtered;sentence1_str;sentence2_str;liu_path;liu_res;liu_lin;liu_jcn;agirre_words;agirre_synsets
879;main-news;MSRpar;2012test;0004;1.400;['vivendi', 'shares', 'closed', '19', 'percent', 'at', '1580', 'euros', 'in', 'paris', 'after', 'falling', '36', 'percent', 'on', 'monday'];['in', 'new', 'york', 'vivendi', 'shares', 'were', '14', 'percent', 'down', 'at', '$', '1829'];[('vivendi', 'NN'), ('shares', 'NNS'), ('closed', 'VBD'), ('19', 'CD'), ('percent', 'NN'), ('at', 'IN'), ('1580', 'CD'), ('euros', 'NNS'), ('in', 'IN'), ('paris', 'NN'), ('after', 'IN'), ('falling', 'VBG'), ('36', 'CD'), ('percent', 'NN'), ('on', 'IN'), ('monday', 'NN')];[('in', 'IN'), ('new', 'JJ'), ('york', 'NN'), ('vivendi', 'JJ'), ('shares', 'NNS'), ('were', 'VBD'), ('14', 'CD'), ('percent', 'NN'), ('down', 'RB'), ('at', 'IN'), ('$', '$'), ('1829', 'CD')];[('vivendi', 'NN'), ('shares', 'NNS'), ('closed', 'VBD'), ('19', 'CD'), ('percent', 'NN'), ('1580', 'CD'), ('euros', 'NNS'), ('paris', 'NN'), ('falling', 'VBG'), ('36', 'CD'), ('percent', 'NN'), ('monday', 'NN')];[('new', 'JJ'), ('york', 'NN'), ('vivendi', 'JJ'), ('shares', 'NNS'), ('were', 'VBD'), ('14', 'CD'), ('percent', 'NN'), ('down', 'RB'), ('$', '$'), ('1829', 'CD')];['vivendi', 'shares', 'closed', '19', 'percent', '1580', 'euros', 'paris', 'falling', '36', 'percent', 'monday'];['new', 'york', 'vivendi', 'shares', 'were', '14', 'percent', 'down', '$', '1829'];vivendi shares closed 19 percent 1580 euros paris falling 36 percent monday;new york vivendi shares were 14 percent down $ 1829;0.5584625442793955;0.5015445924109323;0.5140301715160198;0.25819888974716115;0.36363636363636365;0.2727272727272727
880;main-news;MSRpar;2012test;0007;3.600;['bremer', 'said', 'one', 'initiative', 'is', 'to', 'launch', 'a', 'us', '$', '70', 'million', 'nationwide', 'program', 'in', 'the', 'next', 'two', 'weeks', 'to', 'clean', 'up', 'neighborhoods', 'and', 'build', 'community', 'projects'];['bremer', 'said', 'he', 'would', 'launch', 'a', '$', '70-million', 'program', 'in', 'the', 'next', 'two', 'weeks', 'to', 'clean', 'up', 'neighborhoods', 'across', 'iraq', 'and', 'build', 'community', 'projects', 'but', 'gave', 'no', 'details'];[('bremer', 'NN'), ('said', 'VBD'), ('one', 'CD'), ('initiative', 'NN'), ('is', 'VBZ'), ('to', 'TO'), ('launch', 'VB'), ('a', 'DT'), ('us', 'PRP'), ('$', '$'), ('70', 'CD'), ('million', 'CD'), ('nationwide', 'JJ'), ('program', 'NN'), ('in', 'IN'), ('the', 'DT'), ('next', 'JJ'), ('two', 'CD'), ('weeks', 'NNS'), ('to', 'TO'), ('clean', 'VB'), ('up', 'RP'), ('neighborhoods', 'NNS'), ('and', 'CC'), ('build', 'VB'), ('community', 'NN'), ('projects', 'NNS')];[('bremer', 'NN'), ('said', 'VBD'), ('he', 'PRP'), ('would', 'MD'), ('launch', 'VB'), ('a', 'DT'), ('$', '$'), ('70-million', 'JJ'), ('program', 'NN'), ('in', 'IN'), ('the', 'DT'), ('next', 'JJ'), ('two', 'CD'), ('weeks', 'NNS'), ('to', 'TO'), ('clean', 'VB'), ('up', 'RP'), ('neighborhoods', 'NNS'), ('across', 'IN'), ('iraq', 'NN'), ('and', 'CC'), ('build', 'VB'), ('community', 'NN'), ('projects', 'NNS'), ('but', 'CC'), ('gave', 'VBD'), ('no', 'DT'), ('details', 'NNS')];[('bremer', 'NN'), ('said', 'VBD'), ('one', 'CD'), ('initiative', 'NN'), ('is', 'VBZ'), ('to', 'TO'), ('launch', 'VB'), ('us', 'PRP'), ('$', '$'), ('70', 'CD'), ('million', 'CD'), ('nationwide', 'JJ'), ('program', 'NN'), ('next', 'JJ'), ('two', 'CD'), ('weeks', 'NNS'), ('to', 'TO'), ('clean', 'VB'), ('up', 'RP'), ('neighborhoods', 'NNS'), ('and', 'CC'), ('build', 'VB'), ('community', 'NN'), ('projects', 'NNS')];[('bremer', 'NN'), ('said', 'VBD'), ('he', 'PRP'), ('would', 'MD'), ('launch', 'VB'), ('$', '$'), ('70-million', 'JJ'), ('program', 'NN'), ('next', 'JJ'), ('two', 'CD'), ('weeks', 'NNS'), ('to', 'TO'), ('clean', 'VB'), ('up', 'RP'), ('neighborhoods', 'NNS'), ('iraq', 'NN'), ('and', 'CC'), ('build', 'VB'), ('community', 'NN'), ('projects', 'NNS'), ('but', 'CC'), ('gave', 'VBD'), ('details', 'NNS')];['bremer', 'said', 'one', 'initiative', 'is', 'to', 'launch', 'us', '$', '70', 'million', 'nationwide', 'program', 'next', 'two', 'weeks', 'to', 'clean', 'up', 'neighborhoods', 'and', 'build', 'community', 'projects'];['bremer', 'said', 'he', 'would', 'launch', '$', '70-million', 'program', 'next', 'two', 'weeks', 'to', 'clean', 'up', 'neighborhoods', 'iraq', 'and', 'build', 'community', 'projects', 'but', 'gave', 'details'];bremer said one initiative is to launch us $ 70 million nationwide program next two weeks to clean up neighborhoods and build community projects;bremer said he would launch $ 70-million program next two weeks to clean up neighborhoods iraq and build community projects but gave details;0.8163566850477133;0.9518687507763968;0.920170403293668;0.50709255283711;0.723404255319149;0.5106382978723404
881;main-news;MSRpar;2012test;0018;3.500;['governor', 'gray', 'davis', 'estimated', 'yesterday', 'that', 'the', 'fires', 'could', 'cost', 'nearly', '$', '2', 'billion'];['state', 'officials', 'estimated', 'the', 'cost', 'at', 'nearly', '$', '2', 'billion'];[('governor', 'NN'), ('gray', 'JJ'), ('davis', 'NN'), ('estimated', 'VBN'), ('yesterday', 'NN'), ('that', 'IN'), ('the', 'DT'), ('fires', 'NNS'), ('could', 'MD'), ('cost', 'VB'), ('nearly', 'RB'), ('$', '$'), ('2', 'CD'), ('billion', 'CD')];[('state', 'NN'), ('officials', 'NNS'), ('estimated', 'VBD'), ('the', 'DT'), ('cost', 'NN'), ('at', 'IN'), ('nearly', 'RB'), ('$', '$'), ('2', 'CD'), ('billion', 'CD')];[('governor', 'NN'), ('gray', 'JJ'), ('davis', 'NN'), ('estimated', 'VBN'), ('yesterday', 'NN'), ('fires', 'NNS'), ('could', 'MD'), ('cost', 'VB'), ('nearly', 'RB'), ('$', '$'), ('2', 'CD'), ('billion', 'CD')];[('state', 'NN'), ('officials', 'NNS'), ('estimated', 'VBD'), ('cost', 'NN'), ('nearly', 'RB'), ('$', '$'), ('2', 'CD'), ('billion', 'CD')];['governor', 'gray', 'davis', 'estimated', 'yesterday', 'fires', 'could', 'cost', 'nearly', '$', '2', 'billion'];['state', 'officials', 'estimated', 'cost', 'nearly', '$', '2', 'billion'];governor gray davis estimated yesterday fires could cost nearly $ 2 billion;state officials estimated cost nearly $ 2 billion;0.7581892933716186;0.6763110739175905;0.7769165425449739;0.5773502691896258;0.6;0.5
882;main-news;MSRpar;2012test;0019;3.200;['the', 'american', 'express', 'corp', 'has', 'pledged', 'at', 'least', '$', '3', 'million', 'of', 'more', 'than', '$', '5', 'million', 'needed'];['the', 'city', 'had', 'requested', 'federal', 'funds', 'but', 'withdrew', 'that', 'request', 'when', 'american', 'express', 'pledged', 'at', 'least', '$', '3', 'million'];[('the', 'DT'), ('american', 'JJ'), ('express', 'NN'), ('corp', 'NN'), ('has', 'VBZ'), ('pledged', 'VBN'), ('at', 'IN'), ('least', 'JJS'), ('$', '$'), ('3', 'CD'), ('million', 'CD'), ('of', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('$', '$'), ('5', 'CD'), ('million', 'CD'), ('needed', 'VBD')];[('the', 'DT'), ('city', 'NN'), ('had', 'VBD'), ('requested', 'VBN'), ('federal', 'JJ'), ('funds', 'NNS'), ('but', 'CC'), ('withdrew', 'VBD'), ('that', 'IN'), ('request', 'NN'), ('when', 'WRB'), ('american', 'JJ'), ('express', 'NN'), ('pledged', 'VBN'), ('at', 'IN'), ('least', 'JJS'), ('$', '$'), ('3', 'CD'), ('million', 'CD')];[('american', 'JJ'), ('express', 'NN'), ('corp', 'NN'), ('has', 'VBZ'), ('pledged', 'VBN'), ('least', 'JJS'), ('$', '$'), ('3', 'CD'), ('million', 'CD'), ('more', 'JJR'), ('$', '$'), ('5', 'CD'), ('million', 'CD'), ('needed', 'VBD')];[('city', 'NN'), ('had', 'VBD'), ('requested', 'VBN'), ('federal', 'JJ'), ('funds', 'NNS'), ('but', 'CC'), ('withdrew', 'VBD'), ('request', 'NN'), ('when', 'WRB'), ('american', 'JJ'), ('express', 'NN'), ('pledged', 'VBN'), ('least', 'JJS'), ('$', '$'), ('3', 'CD'), ('million', 'CD')];['american', 'express', 'corp', 'has', 'pledged', 'least', '$', '3', 'million', 'more', '$', '5', 'million', 'needed'];['city', 'had', 'requested', 'federal', 'funds', 'but', 'withdrew', 'request', 'when', 'american', 'express', 'pledged', 'least', '$', '3', 'million'];american express corp has pledged least $ 3 million more $ 5 million needed;city had requested federal funds but withdrew request when american express pledged least $ 3 million;0.7475923285568651;0.3906565928349221;0.3582286683168661;0.0;0.6;0.5333333333333333
883;main-news;MSRpar;2012test;0025;4.000;['claudette', 'the', 'first', 'hurricane', 'of', 'the', 'atlantic', 'storm', 'season', 'hit', 'the', 'mid-texas', 'coast', 'july', '15', 'with', '85-mph', 'wind'];['claudette', 'the', 'first', 'hurricane', 'of', 'the', 'atlantic', 'storm', 'season', 'hit', 'the', 'mid-texas', 'coast', 'july', '15', 'classified', 'as', 'a', 'category', '1', 'hurricane', 'with', 'maximum', 'sustained', 'winds', 'of', '85', 'mph'];[('claudette', 'NN'), ('the', 'DT'), ('first', 'JJ'), ('hurricane', 'NN'), ('of', 'IN'), ('the', 'DT'), ('atlantic', 'JJ'), ('storm', 'NN'), ('season', 'NN'), ('hit', 'VBD'), ('the', 'DT'), ('mid-texas', 'JJ'), ('coast', 'NN'), ('july', 'NN'), ('15', 'CD'), ('with', 'IN'), ('85-mph', 'JJ'), ('wind', 'NN')];[('claudette', 'NN'), ('the', 'DT'), ('first', 'JJ'), ('hurricane', 'NN'), ('of', 'IN'), ('the', 'DT'), ('atlantic', 'JJ'), ('storm', 'NN'), ('season', 'NN'), ('hit', 'VBD'), ('the', 'DT'), ('mid-texas', 'JJ'), ('coast', 'NN'), ('july', 'NN'), ('15', 'CD'), ('classified', 'VBN'), ('as', 'IN'), ('a', 'DT'), ('category', 'NN'), ('1', 'CD'), ('hurricane', 'NN'), ('with', 'IN'), ('maximum', 'NN'), ('sustained', 'JJ'), ('winds', 'NNS'), ('of', 'IN'), ('85', 'CD'), ('mph', 'NN')];[('claudette', 'NN'), ('first', 'JJ'), ('hurricane', 'NN'), ('atlantic', 'JJ'), ('storm', 'NN'), ('season', 'NN'), ('hit', 'VBD'), ('mid-texas', 'JJ'), ('coast', 'NN'), ('july', 'NN'), ('15', 'CD'), ('85-mph', 'JJ'), ('wind', 'NN')];[('claudette', 'NN'), ('first', 'JJ'), ('hurricane', 'NN'), ('atlantic', 'JJ'), ('storm', 'NN'), ('season', 'NN'), ('hit', 'VBD'), ('mid-texas', 'JJ'), ('coast', 'NN'), ('july', 'NN'), ('15', 'CD'), ('classified', 'VBN'), ('category', 'NN'), ('1', 'CD'), ('hurricane', 'NN'), ('maximum', 'NN'), ('sustained', 'JJ'), ('winds', 'NNS'), ('85', 'CD'), ('mph', 'NN')];['claudette', 'first', 'hurricane', 'atlantic', 'storm', 'season', 'hit', 'mid-texas', 'coast', 'july', '15', '85-mph', 'wind'];['claudette', 'first', 'hurricane', 'atlantic', 'storm', 'season', 'hit', 'mid-texas', 'coast', 'july', '15', 'classified', 'category', '1', 'hurricane', 'maximum', 'sustained', 'winds', '85', 'mph'];claudette first hurricane atlantic storm season hit mid-texas coast july 15 85-mph wind;claudette first hurricane atlantic storm season hit mid-texas coast july 15 classified category 1 hurricane maximum sustained winds 85 mph;0.853004216275035;0.6891531828508348;0.7604062967255342;0.6324555320336758;0.6666666666666666;0.6666666666666666
884;main-news;MSRpar;2012test;0028;2.000;['results', 'from', 'no', '2', 'us', 'soft', 'drink', 'maker', 'pepsico', 'inc', '(', 'nyse', 'pep', '-', 'news', '-', 'people', ')', 'were', 'likely', 'to', 'be', 'in', 'the', 'spotlight'];['wall', 'street', 'was', 'also', 'waiting', 'for', 'aluminum', 'maker', 'alcoa', 'inc', '(', 'nyse', 'pep', '-', 'news', '-', 'people', ')', 'to', 'report', 'earnings', 'after', 'the', 'close'];[('results', 'NNS'), ('from', 'IN'), ('no', 'DT'), ('2', 'CD'), ('us', 'PRP'), ('soft', 'JJ'), ('drink', 'NN'), ('maker', 'NN'), ('pepsico', 'NN'), ('inc', 'NN'), ('(', '('), ('nyse', 'JJ'), ('pep', 'NN'), ('-', ':'), ('news', 'NN'), ('-', ':'), ('people', 'NNS'), (')', ')'), ('were', 'VBD'), ('likely', 'JJ'), ('to', 'TO'), ('be', 'VB'), ('in', 'IN'), ('the', 'DT'), ('spotlight', 'NN')];[('wall', 'JJ'), ('street', 'NN'), ('was', 'VBD'), ('also', 'RB'), ('waiting', 'VBG'), ('for', 'IN'), ('aluminum', 'NN'), ('maker', 'NN'), ('alcoa', 'NN'), ('inc', 'NN'), ('(', '('), ('nyse', 'JJ'), ('pep', 'NN'), ('-', ':'), ('news', 'NN'), ('-', ':'), ('people', 'NNS'), (')', ')'), ('to', 'TO'), ('report', 'VB'), ('earnings', 'NNS'), ('after', 'IN'), ('the', 'DT'), ('close', 'NN')];[('results', 'NNS'), ('2', 'CD'), ('us', 'PRP'), ('soft', 'JJ'), ('drink', 'NN'), ('maker', 'NN'), ('pepsico', 'NN'), ('inc', 'NN'), ('(', '('), ('nyse', 'JJ'), ('pep', 'NN'), ('-', ':'), ('news', 'NN'), ('-', ':'), ('people', 'NNS'), (')', ')'), ('were', 'VBD'), ('likely', 'JJ'), ('to', 'TO'), ('be', 'VB'), ('spotlight', 'NN')];[('wall', 'JJ'), ('street', 'NN'), ('was', 'VBD'), ('also', 'RB'), ('waiting', 'VBG'), ('aluminum', 'NN'), ('maker', 'NN'), ('alcoa', 'NN'), ('inc', 'NN'), ('(', '('), ('nyse', 'JJ'), ('pep', 'NN'), ('-', ':'), ('news', 'NN'), ('-', ':'), ('people', 'NNS'), (')', ')'), ('to', 'TO'), ('report', 'VB'), ('earnings', 'NNS'), ('close', 'NN')];['results', '2', 'us', 'soft', 'drink', 'maker', 'pepsico', 'inc', '(', 'nyse', 'pep', '-', 'news', '-', 'people', ')', 'were', 'likely', 'to', 'be', 'spotlight'];['wall', 'street', 'was', 'also', 'waiting', 'aluminum', 'maker', 'alcoa', 'inc', '(', 'nyse', 'pep', '-', 'news', '-', 'people', ')', 'to', 'report', 'earnings', 'close'];results 2 us soft drink maker pepsico inc ( nyse pep - news - people ) were likely to be spotlight;wall street was also waiting aluminum maker alcoa inc ( nyse pep - news - people ) to report earnings close;0.720545828404088;0.915703351669703;0.84469603529835;0.6681531047810609;0.5238095238095238;0.38095238095238093
885;main-news;MSRpar;2012test;0030;3.600;['taylor', 'aides', 'warn', 'an', 'abrupt', 'departure', 'could', 'trigger', 'more', 'chaos', 'a', 'view', 'shared', 'by', 'many', 'in', 'liberia', 'and', 'in', 'private', 'even', 'by', 'mediators'];['his', 'aides', 'warn', 'an', 'abrupt', 'departure', 'could', 'trigger', 'more', 'bloodshed', 'a', 'view', 'shared', 'by', 'many', 'in', 'liberia'];[('taylor', 'NN'), ('aides', 'NNS'), ('warn', 'VBP'), ('an', 'DT'), ('abrupt', 'JJ'), ('departure', 'NN'), ('could', 'MD'), ('trigger', 'VB'), ('more', 'JJR'), ('chaos', 'NN'), ('a', 'DT'), ('view', 'NN'), ('shared', 'VBN'), ('by', 'IN'), ('many', 'JJ'), ('in', 'IN'), ('liberia', 'NNS'), ('and', 'CC'), ('in', 'IN'), ('private', 'JJ'), ('even', 'RB'), ('by', 'IN'), ('mediators', 'NNS')];[('his', 'PRP$'), ('aides', 'NNS'), ('warn', 'VBP'), ('an', 'DT'), ('abrupt', 'JJ'), ('departure', 'NN'), ('could', 'MD'), ('trigger', 'VB'), ('more', 'JJR'), ('bloodshed', 'VBD'), ('a', 'DT'), ('view', 'NN'), ('shared', 'VBN'), ('by', 'IN'), ('many', 'JJ'), ('in', 'IN'), ('liberia', 'NNS')];[('taylor', 'NN'), ('aides', 'NNS'), ('warn', 'VBP'), ('abrupt', 'JJ'), ('departure', 'NN'), ('could', 'MD'), ('trigger', 'VB'), ('more', 'JJR'), ('chaos', 'NN'), ('view', 'NN'), ('shared', 'VBN'), ('many', 'JJ'), ('liberia', 'NNS'), ('and', 'CC'), ('private', 'JJ'), ('even', 'RB'), ('mediators', 'NNS')];[('his', 'PRP$'), ('aides', 'NNS'), ('warn', 'VBP'), ('abrupt', 'JJ'), ('departure', 'NN'), ('could', 'MD'), ('trigger', 'VB'), ('more', 'JJR'), ('bloodshed', 'VBD'), ('view', 'NN'), ('shared', 'VBN'), ('many', 'JJ'), ('liberia', 'NNS')];['taylor', 'aides', 'warn', 'abrupt', 'departure', 'could', 'trigger', 'more', 'chaos', 'view', 'shared', 'many', 'liberia', 'and', 'private', 'even', 'mediators'];['his', 'aides', 'warn', 'abrupt', 'departure', 'could', 'trigger', 'more', 'bloodshed', 'view', 'shared', 'many', 'liberia'];taylor aides warn abrupt departure could trigger more chaos view shared many liberia and private even mediators;his aides warn abrupt departure could trigger more bloodshed view shared many liberia;0.8596973434387998;0.7117278798967095;0.7853805498539514;0.6761234037828132;0.7333333333333333;0.6666666666666666
886;main-news;MSRpar;2012test;0031;4.200;['but', 'odette', 'is', 'the', 'first', 'to', 'form', 'over', 'the', 'caribbean', 'sea', 'in', 'december', 'the', 'center', 'said'];['it', 'is', 'the', 'first', 'named', 'storm', 'to', 'develop', 'in', 'the', 'caribbean', 'in', 'december'];[('but', 'CC'), ('odette', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('first', 'JJ'), ('to', 'TO'), ('form', 'VB'), ('over', 'IN'), ('the', 'DT'), ('caribbean', 'JJ'), ('sea', 'NN'), ('in', 'IN'), ('december', 'NNP'), ('the', 'DT'), ('center', 'NN'), ('said', 'VBD')];[('it', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('first', 'JJ'), ('named', 'VBN'), ('storm', 'NN'), ('to', 'TO'), ('develop', 'VB'), ('in', 'IN'), ('the', 'DT'), ('caribbean', 'NN'), ('in', 'IN'), ('december', 'NN')];[('but', 'CC'), ('odette', 'NN'), ('is', 'VBZ'), ('first', 'JJ'), ('to', 'TO'), ('form', 'VB'), ('caribbean', 'JJ'), ('sea', 'NN'), ('december', 'NNP'), ('center', 'NN'), ('said', 'VBD')];[('it', 'PRP'), ('is', 'VBZ'), ('first', 'JJ'), ('named', 'VBN'), ('storm', 'NN'), ('to', 'TO'), ('develop', 'VB'), ('caribbean', 'NN'), ('december', 'NN')];['but', 'odette', 'is', 'first', 'to', 'form', 'caribbean', 'sea', 'december', 'center', 'said'];['it', 'is', 'first', 'named', 'storm', 'to', 'develop', 'caribbean', 'december'];but odette is first to form caribbean sea december center said;it is first named storm to develop caribbean december;0.7562324910785395;0.8175995042402053;0.7564417791552681;0.5477225575051662;0.5;0.4
887;main-news;MSRpar;2012test;0034;4.000;['the', 'afl-cio', 'is', 'waiting', 'until', 'october', 'to', 'decide', 'if', 'it', 'will', 'endorse', 'a', 'candidate'];['the', 'afl-cio', 'announced', 'wednesday', 'that', 'it', 'will', 'decide', 'in', 'october', 'whether', 'to', 'endorse', 'a', 'candidate', 'before', 'the', 'primaries'];[('the', 'DT'), ('afl-cio', 'NN'), ('is', 'VBZ'), ('waiting', 'VBG'), ('until', 'IN'), ('october', 'NNP'), ('to', 'TO'), ('decide', 'VB'), ('if', 'IN'), ('it', 'PRP'), ('will', 'MD'), ('endorse', 'VB'), ('a', 'DT'), ('candidate', 'NN')];[('the', 'DT'), ('afl-cio', 'NN'), ('announced', 'VBD'), ('wednesday', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('will', 'MD'), ('decide', 'VB'), ('in', 'IN'), ('october', 'JJ'), ('whether', 'IN'), ('to', 'TO'), ('endorse', 'VB'), ('a', 'DT'), ('candidate', 'NN'), ('before', 'IN'), ('the', 'DT'), ('primaries', 'NNS')];[('afl-cio', 'NN'), ('is', 'VBZ'), ('waiting', 'VBG'), ('october', 'NNP'), ('to', 'TO'), ('decide', 'VB'), ('it', 'PRP'), ('will', 'MD'), ('endorse', 'VB'), ('candidate', 'NN')];[('afl-cio', 'NN'), ('announced', 'VBD'), ('it', 'PRP'), ('will', 'MD'), ('decide', 'VB'), ('october', 'JJ'), ('to', 'TO'), ('endorse', 'VB'), ('candidate', 'NN'), ('primaries', 'NNS')];['afl-cio', 'is', 'waiting', 'october', 'to', 'decide', 'it', 'will', 'endorse', 'candidate'];['afl-cio', 'announced', 'it', 'will', 'decide', 'october', 'to', 'endorse', 'candidate', 'primaries'];afl-cio is waiting october to decide it will endorse candidate;afl-cio announced it will decide october to endorse candidate primaries;0.8762237568211539;;0.9369160415506872;0.8571428571428571;0.8;0.7
888;main-news;MSRpar;2012test;0043;3.250;['it', 'was', 'developed', 'with', 'consultation', 'from', 'more', 'than', '300', 'leaders', 'in', 'academia', 'industry', 'government', 'and', 'the', 'public'];['the', 'plan', 'called', 'the', 'nih', 'roadmap', 'was', 'developed', 'over', '14', 'months', 'with', 'help', 'from', 'more', 'than', '300', 'consultants', 'in', 'industry', 'and', 'academia'];[('it', 'PRP'), ('was', 'VBD'), ('developed', 'VBN'), ('with', 'IN'), ('consultation', 'NN'), ('from', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('300', 'CD'), ('leaders', 'NNS'), ('in', 'IN'), ('academia', 'NN'), ('industry', 'NN'), ('government', 'NN'), ('and', 'CC'), ('the', 'DT'), ('public', 'NN')];[('the', 'DT'), ('plan', 'NN'), ('called', 'VBD'), ('the', 'DT'), ('nih', 'NN'), ('roadmap', 'NN'), ('was', 'VBD'), ('developed', 'VBN'), ('over', 'IN'), ('14', 'CD'), ('months', 'NNS'), ('with', 'IN'), ('help', 'NN'), ('from', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('300', 'CD'), ('consultants', 'NNS'), ('in', 'IN'), ('industry', 'NN'), ('and', 'CC'), ('academia', 'NN')];[('it', 'PRP'), ('was', 'VBD'), ('developed', 'VBN'), ('consultation', 'NN'), ('more', 'JJR'), ('300', 'CD'), ('leaders', 'NNS'), ('academia', 'NN'), ('industry', 'NN'), ('government', 'NN'), ('and', 'CC'), ('public', 'NN')];[('plan', 'NN'), ('called', 'VBD'), ('nih', 'NN'), ('roadmap', 'NN'), ('was', 'VBD'), ('developed', 'VBN'), ('14', 'CD'), ('months', 'NNS'), ('help', 'NN'), ('more', 'JJR'), ('300', 'CD'), ('consultants', 'NNS'), ('industry', 'NN'), ('and', 'CC'), ('academia', 'NN')];['it', 'was', 'developed', 'consultation', 'more', '300', 'leaders', 'academia', 'industry', 'government', 'and', 'public'];['plan', 'called', 'nih', 'roadmap', 'was', 'developed', '14', 'months', 'help', 'more', '300', 'consultants', 'industry', 'and', 'academia'];it was developed consultation more 300 leaders academia industry government and public;plan called nih roadmap was developed 14 months help more 300 consultants industry and academia;0.6961110629827026;0.6376316406323859;0.6822158172220927;0.42857142857142855;0.5185185185185185;0.4444444444444444
