;genre;filename;year;number;score;sentence1;sentence2;liu_path;liu_res;liu_lin;liu_jcn;agirre_words;agirre_synsets
0;main-captions;MSRvid;2012test;24;2.5;['a', 'girl', 'is', 'styling', 'her', 'hair'];['a', 'girl', 'is', 'brushing', 'her', 'hair'];0.888888889;0.925035742;0.969384359;;0.833333333;0.666666667
1;main-captions;MSRvid;2012test;33;3.6;['a', 'group', 'of', 'men', 'play', 'soccer', 'on', 'the', 'beach'];['a', 'group', 'of', 'boys', 'are', 'playing', 'soccer', 'on', 'the', 'beach'];0.94758001;0.969234381;0.995398887;;0.736842105;0.631578947
2;main-captions;MSRvid;2012test;45;5;"['one', 'woman', 'is', 'measuring', 'another', 'woman', ""'s"", 'ankle']";"['a', 'woman', 'measures', 'another', 'woman', ""'s"", 'ankle']";0.870815612;0.879555736;0.71085907;;0.666666667;0.933333333
3;main-captions;MSRvid;2012test;63;4.2;['a', 'man', 'is', 'cutting', 'up', 'a', 'cucumber'];['a', 'man', 'is', 'slicing', 'a', 'cucumber'];0.904347826;1;1;;0.769230769;1.076923077
4;main-captions;MSRvid;2012test;66;1.5;['a', 'man', 'is', 'playing', 'a', 'harp'];['a', 'man', 'is', 'playing', 'a', 'keyboard'];0.921364425;0.654387293;0.854780112;;0.833333333;1.166666667
5;main-captions;MSRvid;2012test;74;1.8;['a', 'woman', 'is', 'cutting', 'onions'];['a', 'woman', 'is', 'cutting', 'tofu'];0.868226446;0.80371006;0.929112362;;0.8;0.8
6;main-captions;MSRvid;2012test;76;3.5;['a', 'man', 'is', 'riding', 'an', 'electric', 'bicycle'];['a', 'man', 'is', 'riding', 'a', 'bicycle'];0.888549226;0.975738913;0.988917674;;0.769230769;0.923076923
7;main-captions;MSRvid;2012test;82;2.2;['a', 'man', 'is', 'playing', 'the', 'drums'];['a', 'man', 'is', 'playing', 'the', 'guitar'];0.913698555;0.777836832;0.864084358;;0.833333333;0.666666667
8;main-captions;MSRvid;2012test;92;2.2;['a', 'man', 'is', 'playing', 'guitar'];['a', 'lady', 'is', 'playing', 'the', 'guitar'];0.888888889;0.79348363;0.912810263;;0.727272727;0.727272727
9;main-captions;MSRvid;2012test;95;1.714;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'playing', 'a', 'trumpet'];0.90832045;0.777836832;0.864084358;;0.833333333;1.166666667
10;main-captions;MSRvid;2012test;96;1.714;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'playing', 'a', 'trumpet'];0.90832045;0.777836832;0.864084358;;0.833333333;1.166666667
11;main-captions;MSRvid;2012test;100;5;['a', 'man', 'is', 'cutting', 'an', 'onion'];['a', 'man', 'cuts', 'an', 'onion'];0.98270763;0.920186066;0.866025404;;0.727272727;0.909090909
12;main-captions;MSRvid;2012test;103;0.6;['a', 'man', 'is', 'cycling'];['a', 'man', 'is', 'talking'];0.844642972;1;1;;0.75;0.75
13;main-captions;MSRvid;2012test;107;4.4;['a', 'man', 'is', 'slicing', 'open', 'a', 'fish'];['a', 'man', 'is', 'cutting', 'up', 'a', 'fish'];0.874772295;1;1;;0.714285714;1
14;main-captions;MSRvid;2012test;124;2;['a', 'man', 'is', 'slicing', 'a', 'tomato'];['a', 'man', 'is', 'slicing', 'a', 'bun'];0.85050688;0.879729463;0.938039158;;0.833333333;1.166666667
15;main-captions;MSRvid;2012test;127;1.8;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'playing', 'a', 'keyboard'];0.873015873;0.902324896;0.941296383;;0.833333333;1.166666667
16;main-captions;MSRvid;2012test;128;4.4;['a', 'baby', 'panda', 'goes', 'down', 'a', 'slide'];['a', 'panda', 'slides', 'down', 'a', 'slide'];0.932294445;1;1;;0.769230769;1.230769231
17;main-captions;MSRvid;2012test;134;3.6;['a', 'man', 'is', 'singing', 'and', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'playing', 'a', 'guitar'];0.963086825;1;1;;0.857142857;1.142857143
18;main-captions;MSRvid;2012test;137;3.6;['a', 'man', 'attacks', 'a', 'woman'];['a', 'man', 'slaps', 'a', 'woman'];0.851592299;1;1;;0.8;1.2
19;main-captions;MSRvid;2012test;139;1.2;['a', 'man', 'is', 'driving', 'a', 'car'];['a', 'man', 'is', 'riding', 'a', 'horse'];0.902828973;0.662543907;0.858281731;;0.666666667;1.166666667
20;main-captions;MSRvid;2012test;146;2.4;['a', 'woman', 'is', 'cutting', 'tofu'];['a', 'woman', 'is', 'cutting', 'an', 'onion'];0.811929326;0.817923582;0.93388112;;0.727272727;0.727272727
21;main-captions;MSRvid;2012test;150;0.2;['the', 'woman', 'is', 'styling', 'her', 'hair'];['the', 'woman', 'is', 'slicing', 'herbs'];0.657549897;0.576749406;0.810661759;;0.545454545;0.363636364
22;main-captions;MSRvid;2012test;156;4.2;['two', 'zebras', 'play', 'in', 'an', 'open', 'field'];['two', 'zebras', 'are', 'playing', 'in', 'a', 'field'];0.862463248;0.982590433;0.96693725;;0.571428571;0.714285714
23;main-captions;MSRvid;2012test;162;4.4;['a', 'man', 'is', 'cutting', 'a', 'potato'];['a', 'man', 'is', 'slicing', 'some', 'potato'];0.872871561;1;1;;0.833333333;0.833333333
24;main-captions;MSRvid;2012test;169;2.25;['a', 'man', 'is', 'slicing', 'an', 'onion'];['a', 'woman', 'is', 'slicing', 'a', 'pumpkin'];0.778761197;0.901084616;0.911348211;;0.5;0.666666667
25;main-captions;MSRvid;2012test;170;2;['a', 'man', 'is', 'dancing'];['a', 'man', 'and', 'woman', 'is', 'dancing'];0.955779009;0.790247833;0.869221985;;0.8;0.8
26;main-captions;MSRvid;2012test;171;0.75;['a', 'man', 'is', 'riding', 'a', 'motorcycle'];['a', 'woman', 'is', 'riding', 'a', 'horse'];0.850466939;0.790247833;0.869221985;;0.666666667;1
27;main-captions;MSRvid;2012test;174;2.2;['a', 'woman', 'is', 'slicing', 'garlics'];['a', 'woman', 'is', 'slicing', 'an', 'onion'];0.853855376;0.987400812;0.991901539;;0.727272727;0.727272727
28;main-captions;MSRvid;2012test;181;0.8;['a', 'man', 'is', 'speaking'];['a', 'man', 'is', 'cooking'];0.876820945;1;1;;0.75;0.75
29;main-captions;MSRvid;2012test;183;2.2;['a', 'little', 'boy', 'is', 'singing', 'and', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'singing', 'and', 'playing', 'the', 'guitar'];0.911073693;0.859982854;0.919472205;;0.823529412;0.705882353
30;main-captions;MSRvid;2012test;197;3.2;['a', 'turtle', 'is', 'swimming', 'in', 'water'];['a', 'turtle', 'is', 'walking', 'underwater'];0.748933824;1;1;;0.545454545;0.545454545
31;main-captions;MSRvid;2012test;209;4.8;['a', 'young', 'woman', 'is', 'putting', 'stickers', 'all', 'over', 'her', 'face'];['a', 'woman', 'is', 'applying', 'stickers', 'to', 'her', 'face'];0.823292772;0.804970415;0.894427191;;0.666666667;0.555555556
32;main-captions;MSRvid;2012test;229;1.4;['a', 'woman', 'is', 'wrapping', 'tofu'];['a', 'woman', 'is', 'balling', 'dough'];0.831758034;0.822387569;0.876667682;;0.6;0.6
33;main-captions;MSRvid;2012test;232;4.25;['a', 'cat', 'is', 'eating', 'some', 'corn'];['a', 'cat', 'is', 'eating', 'corn', 'on', 'the', 'cob'];0.792213927;0.550040117;0.847812167;;0.714285714;0.714285714
34;main-captions;MSRvid;2012test;242;3.4;['a', 'man', 'is', 'eating', 'a', 'food'];['a', 'man', 'is', 'eating', 'a', 'piece', 'of', 'bread'];0.927272727;0.914455392;0.999837833;;0.714285714;1.142857143
35;main-captions;MSRvid;2012test;244;0.533;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'eating', 'pasta'];0.758543487;0.713160311;0.844742591;;0.727272727;0.727272727
36;main-captions;MSRvid;2012test;248;0.4;['a', 'man', 'is', 'kicking', 'pots', 'of', 'water'];['a', 'man', 'is', 'picking', 'flowers'];0.734283011;1;1;;0.5;0.5
37;main-captions;MSRvid;2012test;251;1.2;['a', 'man', 'is', 'cutting', 'a', 'pipe', 'with', 'scissors'];['a', 'man', 'is', 'cutting', 'carpet', 'with', 'a', 'knife'];0.854335392;1;1;;0.75;0.875
38;main-captions;MSRvid;2012test;253;5;['a', 'woman', 'is', 'dancing', 'in', 'the', 'rain'];['a', 'woman', 'dances', 'in', 'the', 'rain', 'out', 'side'];0.895334949;0.843121823;0.816496581;;0.666666667;0.666666667
39;main-captions;MSRvid;2012test;258;0.538;['a', 'woman', 'is', 'taking', 'a', 'bath'];['a', 'woman', 'is', 'riding', 'a', 'horse'];0.796055265;1;1;;0.666666667;1
40;main-captions;MSRvid;2012test;266;3.75;['a', 'man', 'mixes', 'vegetables', 'in', 'a', 'pot'];['a', 'person', 'is', 'stirring', 'vegetables', 'in', 'a', 'pot'];0.860430498;0.851451982;0.80009809;;0.666666667;0.933333333
